Village_st,Samp_count,SHED_NAME,area_m2,Uniqe_ID,OSDS_cnt,Pig_cnt,pct_ag,ag_area_m2,NatArea,pct_Nat,OSDS_Load_kgDINpYr,PIG_Load_kgDINpYr,AG_Load_kgDINpYr,NAT_Load_kgDINpYr,Total_Load_kgDINpYr,Area_scaled_Total_Modeled_Load,Coast_scaled_Total_Modeled_Load
0,,Tafuna Plain,14200838.25,WS_64_Tafuna Plain,1718,2166,0.194371552,2760238.976,2216796,0.156103179,69.99375893,20.41138923,1.339620037,0.803089965,92.54785815,6.517070086,8.277044195
0,,Fagatele - Larsen,2125458.156,WS_65_Fagatele - Larsen,30,55,0.198005991,420853.4489,1259291,0.592479789,1.222242589,0.51829474,0.204251776,0.456209757,2.400998862,1.129638264,0.702870159
0,,Laulii - Aumi,624484,WS_68_Laulii - Aumi,26,25,0.008352801,5216.190475,563698,0.902662038,1.05927691,0.235588518,0.002531561,0.204213742,1.501610732,2.404562378,1.842682113
0,,Laulii - Aumi,251413.6875,WS_69_Laulii - Aumi,27,7,0.019943443,5014.054444,187769,0.746852735,1.10001833,0.065964785,0.002433459,0.068024031,1.236440605,4.917952627,1.276633647
0,,Sailele,660281.1875,WS_71_Sailele,16,0,0.029997392,19806.71334,561771,0.850805703,0.651862714,0,0.009612744,0.203515638,0.864991096,1.310034441,0.363682221
0,,Masausi,762849,WS_72_Masausi,3,0,0.024103091,18387.01916,663065,0.869195608,0.122224259,0,0.008923727,0.240211931,0.371359917,0.486806585,0.347198823
0,,Pago Pago Harbor,1213046.781,WS_78_Pago Pago Harbor,123,46,0.06677659,81003.12697,893872,0.736881721,5.011194615,0.433482874,0.03931305,0.323827557,5.807818095,4.787793995,2.510320449
0,,Pago Pago Harbor,1016552.219,WS_79_Pago Pago Harbor,90,37,0.044404511,45139.504,782750,0.770004714,3.666727767,0.348671007,0.021907445,0.283570825,4.320877044,4.250521482,2.403048421
0,,Fagatuitui - Vaaogeoge,1852110.875,WS_80_Fagatuitui - Vaaogeoge,0,0,0,0,1779055,0.960555345,0,0,0,0.644507306,0.644507306,0.347985272,0.104750226
0,,Fagasa,321120.625,WS_83_Fagasa,9,0,0.0475891,15281.84159,256896,0.799998443,0.366672777,0,0.007416699,0.093067021,0.467156496,1.454769517,1.564455048
0,,Aasu,1747697.094,WS_86_Aasu,0,0,0,0,1702659,0.974230035,0,0,0,0.616830938,0.616830938,0.352939271,0.141507661
0,,Aasu,3561450.438,WS_87_Aasu,24,111,0.047908435,170623.5158,3293115,0.924655574,0.977794071,1.046013021,0.082808294,1.193013525,3.299628911,0.92648458,1.816070073
0,,Nuuuli Pala,11907939.63,WS_88_Nuuuli Pala,907,1203,999,1144818.335,6023572,999,36.95246761,11.3365195,0.555611885,2.182190074,51.02678906,4.285106464,11.84466594
0,,Fagatuitui - Vaaogeoge,752755.2813,WS_93_Fagatuitui - Vaaogeoge,0,0,0,0,703730,0.934872219,0,0,0,0.254943847,0.254943847,0.338680915,0.055836067
0,,Fagatuitui - Vaaogeoge,1588061.344,WS_95_Fagatuitui - Vaaogeoge,0,0,0,0,1563528,0.984551388,0,0,0,0.566427243,0.566427243,0.35667844,0.296819016
0,,Pago Pago Harbor,865800.7766,WS_96_Pago Pago Harbor,86,22,0.060064915,52004.25006,576923,0.666346134,3.503762088,0.207317896,0.025239096,0.20900483,3.94532391,4.556849586,2.824463958
0,,Pago Pago Harbor,198174.5313,WS_97_Pago Pago Harbor,19,0,0.043415195,8603.785919,85999,0.433955864,0.774086973,0,0.004175654,0.031155295,0.809417923,4.084369054,0.803390367
FAGAITUA,,Fagaitua,850871.7188,WS_62_Fagaitua,26,63,0.048350093,41139.72657,715261,0.840621429,1.05927691,0.593683066,0.019966243,0.259121241,1.932047461,2.270668326,3.379243088
PAGO,,Pago Pago Harbor,3420638.469,WS_81_Pago Pago Harbor,305,227,0.091114998,311671.4683,2196471,0.642123107,12.42613299,2.139143746,0.151262752,0.795726724,15.51226621,4.534903747,29.80602701
NUUULI,,Nuuuli Pala,2331562.531,WS_84_Nuuuli Pala,59,195,0.025464243,59371.4756,1999346,0.857513351,2.403743758,1.837590443,0.028814613,0.724313247,4.994462061,2.14210942,6.478522003
Tafeu_No_name,,Fagatuitui - Vaaogeoge,922689.25,WS_94_Fagatuitui - Vaaogeoge,0,0,0,0,915847,0.992584448,0,0,0,0.331788552,0.331788552,0.359588618,0.27153187
Leone_Maloata,,Leone,9935617.922,WS_98_Leone_Maloata,947,1580,9999,2083102.454,3782448,999,38.58212439,14.88919436,1.010987024,1.37028668,55.85259245,5.621451317,9.017739991
