OID,Uniqe_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,WS_0_Leone,1,94,940000.000000000000000,27.090000152599998,60.669998168900001,33.579998016399998,34.437127661200002,4.759330769950000,3237.090000149999923
1,WS_1_Amanave,2,48,480000.000000000000000,41.419998168900001,51.930000305199997,10.510002136200001,46.088541666700003,2.365458924380000,2212.250000000000000
2,WS_2_Nua - Seetaga,3,34,340000.000000000000000,40.849998474099998,51.369998931900000,10.520000457800000,46.050293866300002,2.851070472410000,1565.709991460000083
3,WS_4_Amanave,4,28,280000.000000000000000,41.569999694800003,46.069999694800003,4.500000000000000,43.779999732999997,1.188158550750000,1225.839992519999896
4,WS_5_Afao - Asili,5,204,2040000.000000000000000,26.440000534100001,80.349998474100005,53.909997940099998,56.907990184500001,8.416501836809999,11609.229997599999479
5,WS_6_Afao - Asili,6,75,750000.000000000000000,38.369998931900000,66.699996948199995,28.329998016400001,49.052933298699998,6.549001125390000,3678.969997409999905
6,WS_7_Pago Pago Harbor,7,111,1110000.000000000000000,0.000000000000000,56.990001678500001,56.990001678500001,49.615675848899997,14.799365916599999,5507.340019229999598
7,WS_8_Pago Pago Harbor,8,103,1030000.000000000000000,0.000000000000000,50.619998931900000,50.619998931900000,38.904757379300001,16.293262076700000,4007.190010069999971
8,WS_9_Fagaalu,9,246,2460000.000000000000000,0.000000000000000,63.709999084499998,63.709999084499998,52.257235798400004,10.520806998099999,12855.280006400000275
9,WS_10_Aoloau Sisifo,10,159,1590000.000000000000000,0.000000000000000,2290.949951170000077,2290.949951170000077,63.229811182600002,177.910698733999993,10053.539978000000701
10,WS_11_Aoloau Sasae,11,350,3500000.000000000000000,0.000000000000000,61.400001525900002,61.400001525900002,43.352371466500003,8.414649235310000,15173.330013299999337
11,WS_12_Fagamalo,12,101,1010000.000000000000000,0.000000000000000,74.129997253400006,74.129997253400006,56.625049779900003,17.580329625699999,5719.130027770000197
12,WS_13_Fagamalo,13,111,1110000.000000000000000,0.000000000000000,75.199996948199995,75.199996948199995,61.800630586600001,15.674777039400000,6859.869995119999658
13,WS_14_Aasu,14,313,3130000.000000000000000,0.000000000000000,51.900001525900002,51.900001525900002,46.094440837999997,7.767437081840000,14427.559982299999319
14,WS_15_Aoloau Sasae,15,179,1790000.000000000000000,0.000000000000000,46.610000610400000,46.610000610400000,39.396089372699997,7.465617055240000,7051.899997710000207
15,WS_17_Leone,16,378,3780000.000000000000000,8.109999656679999,64.959999084499998,56.849999427800000,34.992804217000000,12.370599641600000,13227.279994000000443
16,WS_18_Maloata,17,280,2800000.000000000000000,0.000000000000000,82.410003662099996,82.410003662099996,70.611214406100004,12.734984165500000,19771.140033700001368
17,WS_19_Fagalii,18,21,210000.000000000000000,0.000000000000000,55.450000762899997,55.450000762899997,44.942857106500000,18.399164609900001,943.799999236999952
18,WS_20_Matuu - Faganeanea,19,82,820000.000000000000000,46.509998321499999,64.879997253400006,18.369998931900000,56.525000223299998,5.060733473430000,4635.050018310000269
19,WS_21_Matuu - Faganeanea,20,123,1230000.000000000000000,0.000000000000000,64.580001831100006,64.580001831100006,50.427154510000001,10.329750992399999,6202.540004729999964
20,WS_22_Nua - Seetaga,21,52,520000.000000000000000,42.110000610400000,63.409999847400002,21.299999237100000,50.744615334700001,5.145005992330000,2638.719997409999905
21,WS_23_Nua - Seetaga,22,56,560000.000000000000000,42.340000152599998,54.009998321499999,11.669998168899999,47.724999904599997,3.320732453690000,2672.599994659999993
22,WS_24_Nua - Seetaga,23,171,1710000.000000000000000,39.419998168900001,76.349998474100005,36.930000305199997,57.638772060999997,6.788589999170000,9856.230022429999735
23,WS_25_Nuuuli Pala,24,54,540000.000000000000000,41.770000457800002,65.089996337900004,23.319995880099999,54.357222380499998,6.075456590680000,2935.290008540000144
24,WS_26_Nuuuli Pala,25,67,670000.000000000000000,9.789999961850000,61.939998626700003,52.149998664899996,47.020000002300002,19.128246035699998,3150.340000149999923
25,WS_27_Matuu - Faganeanea,26,58,580000.000000000000000,44.189998626700003,59.840000152599998,15.650001525900000,51.457068936600002,3.880668335530000,2984.509998319999795
26,WS_28_Nuuuli Pala,27,86,860000.000000000000000,0.000000000000000,58.490001678500001,58.490001678500001,42.919534982599998,16.060211602100001,3691.080008509999971
27,WS_29_Nuuuli Pala,28,105,1050000.000000000000000,0.000000000000000,59.680000305199997,59.680000305199997,34.783809434799998,21.866738585800000,3652.299990649999927
28,WS_30_Nuuuli Pala,29,27,270000.000000000000000,0.000000000000000,9.409999847410001,9.409999847410001,6.859629631040000,3.308512561210000,185.210000038000004
29,WS_32_Fagalii,30,183,1830000.000000000000000,0.000000000000000,68.800003051800005,68.800003051800005,55.924590230600003,11.484889927199999,10234.200012200000856
30,WS_33_Poloa,31,66,660000.000000000000000,43.270000457800002,59.509998321499999,16.239997863799999,48.409696983600000,3.689267183500000,3195.040000919999784
31,WS_34_Poloa,32,68,680000.000000000000000,0.000000000000000,45.560001373299997,45.560001373299997,36.455440913899999,13.420744325099999,2478.969982149999851
32,WS_35_Alega,33,98,980000.000000000000000,0.000000000000000,59.529998779300001,59.529998779300001,36.994285680799997,7.618635891150000,3625.439996720000181
33,WS_36_Alega,34,23,230000.000000000000000,21.190000534100001,33.709999084499998,12.519998550400000,28.946956551600000,3.983959458240000,665.780000686999983
34,WS_37_Alega,35,21,210000.000000000000000,0.000000000000000,37.450000762899997,37.450000762899997,32.310476303100003,7.481592321840000,678.520002364999982
35,WS_39_Fagaitua,36,31,310000.000000000000000,19.000000000000000,21.909999847400002,2.909999847410000,19.396128992900000,0.484526202668000,601.279998779000039
