OID,Uniqe_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,WS_0_Leone,1,94,940000.000000000000000,59.069999694800003,126.690002441000004,67.620002746599994,92.033191802700003,15.918563679800000,8651.120029449999492
1,WS_1_Amanave,2,48,480000.000000000000000,20.000000000000000,94.089996337900004,74.089996337900004,49.991250038099999,12.114581038000001,2399.580001830000128
2,WS_2_Nua - Seetaga,3,34,340000.000000000000000,36.439998626700003,107.660003661999994,71.220005035400007,54.210882523499997,18.299748251899999,1843.170005799999899
3,WS_4_Amanave,4,28,280000.000000000000000,33.580001831099999,90.830001831100006,57.250000000000000,51.395356859499998,14.096764530500000,1439.069992069999898
4,WS_5_Afao - Asili,5,204,2040000.000000000000000,50.299999237100003,237.669998168999996,187.369998931999987,98.900000048600006,25.730946212700001,20175.600009900001169
5,WS_6_Afao - Asili,6,75,750000.000000000000000,40.740001678500001,142.039993285999998,101.299991607999999,75.096666615800004,17.063879784800001,5632.249996190000275
6,WS_7_Pago Pago Harbor,7,111,1110000.000000000000000,0.000000000000000,172.100006103999988,172.100006103999988,102.692703074999997,39.991699688200001,11398.890041399999973
7,WS_8_Pago Pago Harbor,8,103,1030000.000000000000000,0.000000000000000,132.350006103999988,132.350006103999988,67.879126280300000,37.991095469999998,6991.550006870000288
8,WS_9_Fagaalu,9,246,2460000.000000000000000,0.000000000000000,184.380004882999998,184.380004882999998,103.977276445000001,30.948873629700000,25578.410005599998840
9,WS_10_Aoloau Sisifo,10,159,1590000.000000000000000,0.000000000000000,166.440002440999990,166.440002440999990,84.449182402399998,34.511134294900003,13427.420002000000750
10,WS_11_Aoloau Sasae,11,350,3500000.000000000000000,0.000000000000000,268.600006103999988,268.600006103999988,121.098285457000003,31.313673684499999,42384.399910000000091
11,WS_12_Fagamalo,12,101,1010000.000000000000000,0.000000000000000,188.160003662000008,188.160003662000008,68.201386329000002,31.724512607299999,6888.340019229999598
12,WS_13_Fagamalo,13,111,1110000.000000000000000,0.000000000000000,205.389999390000014,205.389999390000014,70.139369449100002,27.012610446899998,7785.470008850000340
13,WS_14_Aasu,14,313,3130000.000000000000000,0.000000000000000,199.580001831000004,199.580001831000004,117.654312986999997,25.785528217800000,36825.799964899997576
14,WS_15_Aoloau Sasae,15,179,1790000.000000000000000,0.000000000000000,191.220001220999990,191.220001220999990,107.687262508000003,26.091543590499999,19276.019989000000351
15,WS_17_Leone,16,378,3780000.000000000000000,11.310000419600000,267.619995116999974,256.309994698000025,113.275105620000005,29.455814844199999,42817.989924399997108
16,WS_18_Maloata,17,280,2800000.000000000000000,0.000000000000000,246.899993896000012,246.899993896000012,88.522464425199999,34.807970718400000,24786.290039100000286
17,WS_19_Fagalii,18,21,210000.000000000000000,0.000000000000000,72.720001220699999,72.720001220699999,40.070952460900003,17.431212903799999,841.490001677999999
18,WS_20_Matuu - Faganeanea,19,82,820000.000000000000000,78.900001525899995,215.809997559000010,136.909996032999999,103.890000134000005,17.873212619499999,8518.980010990000665
19,WS_21_Matuu - Faganeanea,20,123,1230000.000000000000000,0.000000000000000,182.460006714000002,182.460006714000002,90.706422945300005,26.838554844099999,11156.890022300000055
20,WS_22_Nua - Seetaga,21,52,520000.000000000000000,34.900001525900002,178.039993285999998,143.139991759999987,63.173461033700001,27.344020519499999,3285.019973750000190
21,WS_23_Nua - Seetaga,22,56,560000.000000000000000,34.029998779300001,64.860000610399993,30.830001831099999,49.952321665600003,7.562251040780000,2797.330013280000003
22,WS_24_Nua - Seetaga,23,171,1710000.000000000000000,21.370000839199999,232.710006714000002,211.340005875000003,74.183743136700002,20.712736415100000,12685.420076399999743
23,WS_25_Nuuuli Pala,24,54,540000.000000000000000,59.409999847400002,135.029998779000010,75.619998931900000,103.382593013999994,13.363707136900000,5582.660022740000386
24,WS_26_Nuuuli Pala,25,67,670000.000000000000000,55.099998474099998,142.789993285999998,87.689994811999995,109.759999574000005,15.705551657599999,7353.919971469999837
25,WS_27_Matuu - Faganeanea,26,58,580000.000000000000000,68.680000305199997,164.570007323999988,95.890007018999995,90.322758904799997,13.110639578300001,5238.720016479999686
26,WS_28_Nuuuli Pala,27,86,860000.000000000000000,0.000000000000000,234.630004882999998,234.630004882999998,91.183953440500005,27.511836717300000,7841.819995879999624
27,WS_29_Nuuuli Pala,28,105,1050000.000000000000000,0.000000000000000,174.639999390000014,174.639999390000014,91.081428309800003,32.142259803199998,9563.549972529999650
28,WS_30_Nuuuli Pala,29,27,270000.000000000000000,0.000000000000000,94.120002746599994,94.120002746599994,51.735185481899997,29.959875935800000,1396.850008010000010
29,WS_32_Fagalii,30,183,1830000.000000000000000,0.000000000000000,235.880004882999998,235.880004882999998,64.835027319500000,32.455628900699999,11864.809999499999321
30,WS_33_Poloa,31,66,660000.000000000000000,38.490001678500001,109.169998168999996,70.679996490500002,59.069848378499998,16.518402907199999,3898.609992979999788
31,WS_34_Poloa,32,68,680000.000000000000000,0.000000000000000,95.720001220699999,95.720001220699999,43.632794464299998,23.313763980400001,2967.030023570000139
32,WS_35_Alega,33,98,980000.000000000000000,0.000000000000000,175.589996337999992,175.589996337999992,95.963265010300006,20.842238971200000,9404.399971009999717
33,WS_36_Alega,34,23,230000.000000000000000,66.730003356899999,113.919998168999996,47.189994812000002,80.905218373200000,11.027433337600000,1860.820022580000114
34,WS_37_Alega,35,21,210000.000000000000000,0.000000000000000,97.419998168899994,97.419998168899994,76.699522835899998,18.869705162100001,1610.689979550000089
35,WS_39_Fagaitua,36,31,310000.000000000000000,53.619998931900000,105.440002441000004,51.820003509499998,63.578064580099998,9.272529065430000,1970.920001980000052
36,WS_40_Fagaitua,37,72,720000.000000000000000,36.500000000000000,104.339996338000006,67.839996337900004,56.083194308800003,13.553887835699999,4037.989990229999876
37,WS_41_Fagaitua,38,19,190000.000000000000000,41.979999542199998,78.839996337900004,36.859996795699999,52.504210221100003,10.323531018000001,997.579994201999966
38,WS_42_Fagaitua,39,18,180000.000000000000000,44.959999084499998,87.470001220699999,42.510002136200001,61.880000008499998,11.468085049600001,1113.840000149999923
