OID,Uniqe_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,WS_0_Leone,1,94,940000.000000000000000,127.580001831000004,200.059997559000010,72.479995727499997,162.221169817000003,19.237463925200000,15248.789962799999557
1,WS_1_Amanave,2,48,480000.000000000000000,118.139999390000000,148.350006103999988,30.210006713900000,131.563957691000013,6.800177690980000,6315.069969180000044
2,WS_2_Nua - Seetaga,3,34,340000.000000000000000,116.489997864000003,146.759994506999988,30.269996643100001,131.462351630999990,8.197467067630001,4469.719955440000376
3,WS_4_Amanave,4,28,280000.000000000000000,118.550003051999994,131.520004271999994,12.970001220700000,124.923214775999995,3.419199681670000,3497.850013729999773
4,WS_5_Afao - Asili,5,204,2040000.000000000000000,124.500000000000000,214.240005493000012,89.740005493200002,185.524363125000008,22.813578190299999,37846.970077500001935
5,WS_6_Afao - Asili,6,75,750000.000000000000000,122.480003357000001,190.830001831000004,68.349998474100005,156.897732746999992,20.205809242699999,11767.329956100000345
6,WS_7_Pago Pago Harbor,7,111,1110000.000000000000000,0.000000000000000,211.419998168999996,211.419998168999996,181.323422819000001,54.225540059300002,20126.899932899999840
7,WS_8_Pago Pago Harbor,8,103,1030000.000000000000000,0.000000000000000,182.669998168999996,182.669998168999996,139.214660645000009,58.436420643100000,14339.110046399999192
8,WS_9_Fagaalu,9,246,2460000.000000000000000,0.000000000000000,223.520004271999994,223.520004271999994,184.000772616000006,37.172406618700002,45264.190063499998359
9,WS_10_Aoloau Sisifo,10,159,1590000.000000000000000,0.000000000000000,203.910003662000008,203.910003662000008,159.602452499999998,50.119133445099997,25376.789947500001290
10,WS_11_Aoloau Sasae,11,350,3500000.000000000000000,0.000000000000000,214.720001220999990,214.720001220999990,191.699942671000002,36.833087741200004,67094.979934699993464
11,WS_12_Fagamalo,12,101,1010000.000000000000000,0.000000000000000,190.309997559000010,190.309997559000010,148.067623327000007,45.191961952400000,14954.829956100000345
12,WS_13_Fagamalo,13,111,1110000.000000000000000,0.000000000000000,193.020004271999994,193.020004271999994,158.658829422999986,40.234477801399997,17611.130065900000773
13,WS_14_Aasu,14,313,3130000.000000000000000,0.000000000000000,215.729995728000006,215.729995728000006,192.105207790999998,32.168644252900002,60128.930038500002411
14,WS_15_Aoloau Sasae,15,179,1790000.000000000000000,0.000000000000000,206.889999390000014,206.889999390000014,174.796592244000010,33.143776484999997,31288.590011600001162
15,WS_17_Leone,16,378,3780000.000000000000000,124.739997864000003,215.309997559000010,90.569999694800003,179.431614185000001,31.072371600800000,67825.150161700003082
16,WS_18_Maloata,17,280,2800000.000000000000000,0.000000000000000,211.679992676000012,211.679992676000012,182.050428118000013,32.644112328100000,50974.119873000003281
17,WS_19_Fagalii,18,21,210000.000000000000000,0.000000000000000,142.500000000000000,142.500000000000000,115.516191027999994,47.290033604199998,2425.840011599999798
18,WS_20_Matuu - Faganeanea,19,82,820000.000000000000000,156.089996337999992,219.649993896000012,63.559997558600003,190.072439054000000,17.261994846899999,15585.940002400000594
19,WS_21_Matuu - Faganeanea,20,123,1230000.000000000000000,0.000000000000000,217.539993285999998,217.539993285999998,170.757886313000000,35.006997391600002,21003.220016499999474
20,WS_22_Nua - Seetaga,21,52,520000.000000000000000,120.150001525999997,163.820007323999988,43.670005798299997,143.925384374999993,12.967762718099999,7484.119987490000312
21,WS_23_Nua - Seetaga,22,56,560000.000000000000000,120.809997558999996,154.350006103999988,33.540008544899997,136.282322475000001,9.541907611779999,7631.810058590000153
22,WS_24_Nua - Seetaga,23,171,1710000.000000000000000,125.190002441000004,195.949996948000006,70.759994506799998,164.444093804999994,16.721384427600000,28119.940040599998611
23,WS_25_Nuuuli Pala,24,54,540000.000000000000000,145.830001831000004,218.880004882999998,73.050003051800005,190.478333649999996,20.075185161200000,10285.830017099999168
24,WS_26_Nuuuli Pala,25,67,670000.000000000000000,150.550003051999994,220.919998168999996,70.369995117200006,193.281641263000012,21.398694657400000,12949.869964600000458
25,WS_27_Matuu - Faganeanea,26,58,580000.000000000000000,148.179992676000012,201.169998168999996,52.990005493200002,172.815344712000012,13.133805192900001,10023.289993300000788
26,WS_28_Nuuuli Pala,27,86,860000.000000000000000,0.000000000000000,208.089996337999992,208.089996337999992,167.472674170000005,35.947092272699997,14402.649978600000395
