,Village_st,Samp_count,Ave_DIN_uM,Ave_DIN_uM_ERR,Ave_Sal,aveDIN_BF,aveDIN_BF_ERR,aveDIN_RO,aveDIN_RO_ERR,BFcnt,ROcnt,BF_TF_ratio,SHED_NAME,area_m2,Uniqe_ID,OSDS_cnt,Pig_cnt,pct_ag,ag_area_m2,NatArea,pct_Nat,TotGWQm3pd,netinfiltration,runoff,rainfall,SGD_m3pd,SGD_std,baseflow,baseflow_std,s_len_km,Ave_UnMix_CSP_DIN_mgpL,Ave_UnMix_CSP_DIN_mgpL_ERR,SGD_m3pd_w_pumping,BF_DIN_lOAD_kgNpd,RO_DIN_lOAD_kgNpd,SGD_DIN_lOAD_kgNpd,Total_DIN_lOAD_kgNpd,BF_DIN_lOAD_kgNpd_ERR,RO_DIN_lOAD_kgNpd_ERR,SGD_DIN_lOAD_kgNpd_ERR,Total_DIN_lOAD_kgNpd_ERR,OSDS_ShulerLoad,PIG_ShulerLoad,AG_ShulerLoad,NAT_ShulerLoad,Total_ShulerLoad,Load_per_km2_kgDINpdpkm2,DINpKm_len,predicted_D15N_permil,predicted_D15N_relative
0,Amaluia_Vaipuna,12.0,0.09242236792527686,0.05998014739284519,0.0,0.10813167031834692,0.0683467096823029,0.06100376313913676,0.017814951238746907,8.0,4.0,0.6666666666666666,Leone,948249.28125,WS_0_Leone,20,6,0.0314171428438,29791.2831206,839330,0.885136447342,0.0,6020.2314725514125,2252.659890517291,10611.486713837512,4033.555086609446,2889.7111068246772,1986.676385941966,1023.43935033374,0.390184366034,0.464920569211916,0.28424165785800115,4033.555086609446,0.2148226359939216,0.13742073039415056,1.8752827268140828,2.2275260932021546,0.17516842306674799,0.04241867310306941,1.1543491042287977,1.1683343591204292,0.8148283926175003,0.05654124439559204,0.014458530635236458,0.3040683492331844,1.1898965168815132,1.254835137141332,3.049575073896804,7.8505199565675445,-0.6753880549369073
1,Amanave_Laloafu,12.0,0.05350330045809535,0.03015751711555394,0.0,0.044502745240845666,0.010570149934035503,0.07150441089259472,0.04925409585566812,8.0,4.0,0.6666666666666666,Amanave,498758.65625,WS_1_Amanave,27,20,0.141551140503,70599.8566279,361224,0.724246076682,0.0,1669.8447136014115,1539.483561644949,4394.596636078554,1118.795958112946,801.5254625286776,551.0487554884659,283.87360131224,0.947327794141,,,1118.795958112946,0.024523182380788253,0.11007986515425562,,,0.013911267054136233,0.07662074436412364,,,1.1000183300336253,0.18847081465197346,0.0342640558906291,0.13086245622509357,1.4536156568013214,2.9144670244534154,1.5344378849555487,8.986010943961618,0.4601029324571666
2,Amanave_Puna,13.0,0.16216384955523366,0.10426879832536108,0.0,0.13600838994955083,0.07334789513682928,0.22101363366802004,0.14990476634339614,9.0,4.0,0.6923076923076923,Amanave,279178.5625,WS_4_Amanave,22,2,0.086756227407,24220.4788554,172425,0.617615473251,0.0,1001.4350081774356,853.0502961673864,2434.1202835257864,670.9614554788817,480.68880392516905,330.47355269855376,170.24395139016406,0.48976866044,0.44924271744815075,0.31977661711241573,670.9614554788817,0.04494717582343834,0.18853574565753473,0.3014245475622992,0.5349074690432722,0.03352150117482474,0.1292586814793104,0.215641761669376,0.2536392460851742,0.8963112318792503,0.018847081465197348,0.011754865814717042,0.06246528197077648,0.9893784611299412,3.5438912367418656,2.020093446242763,8.672638118187404,0.14673010668295206
3,Asili_Asili,12.0,0.04591949930282016,0.014532731960858589,0.0,0.05000308454027603,0.013017276076179474,0.03775232882790841,0.015672065426588645,8.0,4.0,0.6666666666666666,Afao - Asili,2013216.9375,WS_5_Afao - Asili,32,49,0.0402300671773,80991.8526382,1839401,0.91366258933,0.0,14040.006582241802,8078.751833972747,26337.34356078082,9406.804410102008,6739.203159476065,4633.202172139795,2386.8011189811064,0.766092902842,,,9406.804410102008,0.2316743999056967,0.3049916957552073,,,0.13372099300167967,0.1302323908021848,,,1.3037254281880004,0.461753495897335,0.03930757791913418,0.6663691583142133,2.471155660318683,1.2274661584098074,3.2256605578140136,8.442832948378882,-0.08307506312556967
4,Fagaalu_Fagaalu,12.0,0.11117352462788038,0.07651120590474673,0.7777777777777778,0.1273828578663532,0.07861225994661117,0.07875485815093475,0.07030547490470543,8.0,4.0,0.6666666666666666,Fagaalu,2477828.21875,WS_9_Fagaalu,124,132,0.0219892796608,54485.6576536,2004555,0.808996759675,110.650498185,17799.770250381862,8945.866086649932,31498.915825036,11925.846067755847,8543.889720183293,5873.924182626014,3025.960942564917,2.15540266057,0.3371215030870695,0.2209219457833503,11815.195569570848,0.7482372492731845,0.7045304146913732,3.9831564896814085,5.435924153645966,0.6014985849452863,0.6328770700056622,2.626079758518413,2.7674227778802174,5.051936034228501,1.2439073767030249,0.026443391081092695,0.726200338123415,7.048487140136034,2.844622999608832,3.270148668310565,9.333482153891374,0.8075741423869225
5,Fagamalo_Matavai,12.0,0.05158651555071811,0.022036283422606086,0.0,0.04766960726172982,0.021921662498377514,0.06333724041768297,0.021734571824136167,9.0,3.0,0.75,Fagamalo,1125981.5,WS_13_Fagamalo,7,41,0.0103438781016,11647.0153807,1048899,0.931541948069,0.0,5417.8339239669185,4773.717750023563,12255.416539046742,3629.948729057835,2600.560283504121,1787.8851949090829,921.0317670743764,2.10745515621,,,3629.948729057835,0.08522778507037726,0.30235410881940306,,,0.05885399236183801,0.10807044086798032,,,0.2851899374161251,0.38636517003654564,0.0056526175126199,0.37998997705591114,1.0571977020212018,0.9389121420034005,0.5016465944273958,8.982030236469408,0.4561222249649557
6,Leone_Leafu,12.0,0.19467867581014134,0.11236701292417751,0.0,0.1881116040405184,0.11171330209608225,0.22751403465825598,0.1548659382949895,10.0,2.0,0.8333333333333334,Leone,3788884.78125,WS_17_Leone,233,701,0.0992996622958,376234.979256,2634103,0.695218554292,0.0,29796.628604897094,9204.737310911243,47198.871619534846,19963.74116528105,14302.381730350606,9832.887439616045,5065.426862832507,1.37204034836,,,19963.74116528105,1.84968022861604,2.0942069235748026,,,1.4541584068615931,1.4408011923390085,,,9.492750773993878,6.60590205355167,0.1825972030677298,0.9542698949402246,17.235519925553504,4.548969134888101,12.561962879703298,10.54418236759939,2.0182743560949383
7,Maloata_Maloata,12.0,0.0720044417379975,0.05738741489098237,0.0,0.05387832359214742,0.015460000962756962,0.1082566780296976,0.09428333193322583,8.0,4.0,0.6666666666666666,Maloata,2801859.10938,WS_18_Maloata,5,5,0.00809526212355,22681.7839237,2718603,0.970285404751,0.0,17248.541561425267,13758.5467631831,35472.40122671824,11556.522846154932,8279.29994948413,5692.018715270339,2932.252065442296,1.42201620659,,,11556.522846154932,0.3066764262338946,1.489454567098451,,,0.18083960114153794,1.3057246346609899,,,0.20370709815437507,0.047117703662993365,0.01100809476366137,0.9848821398381838,1.2467150364192137,0.44495993115624183,0.876723507539229,5.159591491331822,-3.3663165201726297
8,Matuu_Afuelo,12.0,0.06908759513981472,0.043809008205191305,0.0,0.07575467307851819,0.05220270024727411,0.05575343926240778,0.01797099078721521,8.0,4.0,0.6666666666666666,Matuu - Faganeanea,1196699.03125,WS_21_Matuu - Faganeanea,73,55,0.0438982297578,52532.9690247,970601,0.811065250873,0.0,7763.9727826220915,4316.288112880603,14615.939408741768,5201.8617643567995,3726.706935658603,2562.1110182652897,1319.8753730457554,1.92019865188,,,5201.8617643567995,0.19409188257955634,0.24064790714054138,,,0.16699152976287462,0.0812151754837307,,,2.974123633053876,0.5182947402929271,0.025495697480661432,0.3516245622509359,3.8695386330784003,3.233510291252189,2.0151762054878377,9.156062432797986,0.6301544212935344
9,Nua-Seetaga_Saonapule,12.0,0.07042101072755542,0.09301058427327086,0.0,0.08138002008929926,0.11405957714350658,0.04850299200406775,0.020092697012760147,8.0,4.0,0.6666666666666666,Nua - Seetaga,1680939.51562,WS_24_Nua - Seetaga,81,252,0.054537911591,91674.9306927,1387461,0.825408045386,0.0,8827.66219013542,6858.855960814997,19568.39663103115,5914.533667390731,4237.277851265001,2913.128522744689,1500.7025723230213,1.68516903768,0.17461715012081705,0.09574524312838804,5914.533667390731,0.23707045770367347,0.33267503582446223,1.032779013293394,1.6025245068215297,0.35400359474264903,0.14177138726053712,0.5711017115997523,0.6867130669563974,3.300054990100876,2.374732264614866,0.04449237008482656,0.5026425552469508,6.221922180047519,3.701455122109267,3.6921650237612615,10.440072208683217,1.9141641971787653
