,Uniqe_ID,netinfiltration,runoff,rainfall,SGD_m3pd,SGD_std,baseflow,baseflow_std
0,WS_0_Leone,6020.231472551412,2252.659890517291,10611.486713837512,4033.555086609446,2889.7111068246772,1986.676385941966,1023.4393503337401
1,WS_1_Amanave,1669.8447136014117,1539.483561644949,4394.596636078554,1118.795958112946,801.5254625286776,551.0487554884659,283.87360131224
2,WS_2_Nua - Seetaga,1282.6443328025919,1089.5625693955255,3110.435256672098,859.3717029777366,615.6692797452441,423.27262982485536,218.04953657644063
3,WS_4_Amanave,1001.4350081774355,853.0502961673863,2434.1202835257864,670.9614554788818,480.68880392516905,330.47355269855376,170.24395139016406
4,WS_5_Afao - Asili,14040.006582241802,8078.751833972746,26337.34356078082,9406.804410102008,6739.203159476065,4633.202172139795,2386.8011189811064
5,WS_6_Afao - Asili,3919.428764468466,2560.1599433979036,8188.772078987261,2626.0172721938725,1881.3258069448636,1293.411492274594,666.3028899596393
6,WS_7_Pago Pago Harbor,7932.378275333014,3832.5051092709227,14006.116665640786,5314.69344447312,3807.5415721598465,2617.6848308598946,1348.5043068066125
7,WS_8_Pago Pago Harbor,4865.352607521119,2788.5651028965663,9978.449182998602,3259.78624703915,2335.3692516101373,1605.5663604819695,827.1099432785903
8,WS_9_Fagaalu,17799.770250381862,8945.866086649932,31498.915825036,11925.846067755849,8543.889720183293,5873.924182626015,3025.960942564917
9,WS_10_Aoloau Sisifo,9344.012823296784,6996.162066905435,17659.464785383563,6260.488591608845,4485.126155182456,3083.524231687939,1588.4821799604533
10,WS_11_Aoloau Sasae,29494.897471581648,10558.974858553012,46690.75316014219,19761.581305959706,14157.55078635919,9733.316165621944,5014.13257016888
11,WS_12_Fagamalo,4793.529766805934,3979.887745352204,10406.922763920158,3211.664943759976,2300.8942880668483,1581.8648230459582,814.9000603570088
12,WS_13_Fagamalo,5417.8339239669185,4773.717750023563,12255.416539046742,3629.9487290578354,2600.560283504121,1787.885194909083,921.0317670743763
13,WS_14_Aasu,25626.721071486234,10040.000645212813,41843.14583506872,17169.903117895778,12300.826114313391,8456.817953590458,4356.5425821526605
14,WS_15_Aoloau Sasae,13413.997471749937,4907.349587449802,21773.429761549873,8987.378306072458,6438.718786439969,4426.619165677479,2280.3795701974896
15,WS_17_Leone,29796.628604897098,9204.737310911243,47198.871619534846,19963.741165281055,14302.381730350606,9832.887439616043,5065.426862832507
16,WS_18_Maloata,17248.54156142527,13758.5467631831,35472.40122671824,11556.522846154932,8279.29994948413,5692.018715270339,2932.252065442296
17,WS_19_Fagalii,585.5848230861386,656.7813693317013,1688.1188025845258,392.3418314677129,281.0807150813465,193.24299161842575,99.54941992464357
18,WS_20_Matuu - Faganeanea,5928.276500797128,3225.4868620572393,10846.106193470445,3971.9452555340763,2845.5727203826214,1956.3312452630526,1007.8070051355119
19,WS_21_Matuu - Faganeanea,7763.97278262209,4316.288112880603,14615.93940874177,5201.8617643568,3726.706935658603,2562.1110182652897,1319.8753730457554
20,WS_22_Nua - Seetaga,2286.013899542766,1836.2599433992261,5208.127333767123,1531.6293126936532,1097.2866717805277,754.3845868491128,388.62236292227027
21,WS_23_Nua - Seetaga,1946.6351325246421,1859.836708611042,5310.903438039451,1304.2455387915104,934.3848636118282,642.389593733132,330.92797252918916
22,WS_24_Nua - Seetaga,8827.66219013542,6858.855960814997,19568.39663103115,5914.533667390731,4237.277851265001,2913.1285227446883,1500.7025723230213
23,WS_25_Nuuuli Pala,3884.9195774795176,2042.640170331337,7157.81047765315,2602.8961169112767,1864.7613971901683,1282.0234605682408,660.4363281715181
24,WS_26_Nuuuli Pala,5117.522391096799,2192.2913973675104,9011.690331544476,3428.7400020348555,2456.4107477264633,1688.7823890619436,869.9788064864558
25,WS_27_Matuu - Faganeanea,3645.57502516579,2076.891889243811,6975.111392595026,2442.5352668610794,1749.8760120795791,1203.0397583047109,619.7477542781844
26,WS_28_Nuuuli Pala,5457.047339600772,2568.587183999766,10022.666012519123,3656.2217175325172,2619.3827230083702,1800.825622068255,927.6980477321313
27,WS_29_Nuuuli Pala,6655.182720609222,2541.6005414414135,11730.826482294737,4458.972422808179,3194.4877058924267,2196.2102978010435,1131.3810625035678
28,WS_30_Nuuuli Pala,972.054526122932,128.8858630401981,1982.946691725485,651.2765325023645,466.58617253900735,320.77799362056754,165.24926944089844
29,WS_32_Fagalii,8256.607506479448,7121.881652325341,18303.754963737763,5531.92702934123,3963.1716031101346,2724.680477138218,1403.6232761015062
30,WS_33_Poloa,2713.0053101840385,2223.3976992686858,6210.801015384131,1817.713557823306,1302.2425488883384,895.2917523607327,461.2109027312866
31,WS_34_Poloa,2064.7277424312047,1725.0914396298103,4919.819944993928,1383.3675874289072,991.0693163669782,681.3601550022976,351.0037162133048
32,WS_35_Alega,6544.431760647637,2522.908929223215,11031.108652850906,4384.769279633917,3141.3272451108655,2159.6624810137205,1112.5533993100985
33,WS_36_Alega,1294.9268102362587,463.3099182861567,2228.2410958848436,867.6009628582934,621.5648689134041,427.3258473779654,220.137557740164
34,WS_37_Alega,1120.8637117991523,472.17556328968607,2016.794811514192,750.978686905432,538.014581663593,369.88502489372024,190.5468310058559
35,WS_39_Fagaitua,1371.5443301471437,418.42498545231393,2484.2104563992657,918.9347011985864,658.3412784706289,452.60962894855743,233.16253612501444
36,WS_40_Fagaitua,2809.998513751601,859.3898668650344,5132.651081659397,1882.6990042135728,1348.7992866007685,927.2995095380284,477.6997473377722
37,WS_41_Fagaitua,694.2063521288454,217.79977917648492,1320.8278309442996,465.11825592632647,333.2190490218458,229.088096202519,118.01507986190373
38,WS_42_Fagaitua,775.1105754489371,211.33496193081533,1244.9897075496426,519.3240855507879,372.0530762154898,255.78648989814926,131.76879782631931
39,WS_43_Fagaitua,2415.5817474792484,697.066466125378,4067.7438938089913,1618.4397708110964,1159.4792387900393,797.141976668152,410.6488970714723
40,WS_44_Fagaitua,2613.7017559724513,769.3903527656548,4381.0754957957915,1751.1801765015425,1254.5768428667766,862.5215794709089,444.32929851531674
41,WS_45_Fagaitua,6788.146538390226,1854.6592822556743,10820.928846310964,4548.058180721451,3258.310338427308,2240.0883576687747,1153.9849115263385
42,WS_46_Amouli,2306.5496549338154,825.2286031625489,4313.54629499829,1545.3882688056565,1107.1438343682314,761.1613861281592,392.11344133874866
43,WS_47_Amouli,1813.9844911864645,700.9773668353337,3675.0111651285392,1215.3696090949313,870.712555769503,598.6148820915333,308.377363501699
44,WS_50_Auasi,1421.349192045914,710.2048791544865,3168.7021896573124,952.3039586707624,682.2476121820387,469.0452333751516,241.62936264780538
45,WS_51_Amouli,1892.2234503028903,741.1232863450049,3831.4334373990096,1267.7897117029365,908.2672561453874,624.4337385999538,321.67798655149136
46,WS_52_Auasi,826.6969283736722,397.3812595836493,1771.1733114587698,553.8869420103604,396.81452561936266,272.80998636331185,140.5384778235243
